# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 300  of event 'cycles:ppp'
# Event count (approx.): 3816667444
#
# Children      Self  Command          Shared Object      Symbol                                                                                         
# ........  ........  ...............  .................  ..........................................................................................................................................
#
    31.72%    31.72%  deepbeliefGccPr  libjpcnn.so        [.] Eigen::internal::gemm_pack_lhs<float, int, Eigen::internal::const_blas_data_mapper<float, int, 1>, 12, 4, 1, false, false>::operator()
    31.41%     0.00%  deepbeliefGccPr  perf-7955.map      [.] 0x7eebb2a0                                                                                                                            
    22.53%    22.53%  deepbeliefGccPr  libjpcnn.so        [.] Eigen::internal::gebp_kernel<float, float, int, Eigen::internal::blas_data_mapper<float, int, 0, 0>, 12, 4, false, false>::operator() 
    14.52%    14.52%  deepbeliefGccPr  libm-2.19.so       [.] __powf_finite                                                                                                                         
    14.11%     0.32%  deepbeliefGccPr  [kernel.kallsyms]  [k] do_page_fault                                                                                                                         
    14.11%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] do_DataAbort                                                                                                                          
    13.80%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] handle_mm_fault                                                                                                                       
    13.49%     0.00%  deepbeliefGccPr  [unknown]          [.] 0x40075d9e                                                                                                                            
    10.49%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] __dabt_usr                                                                                                                            
     9.17%     1.04%  deepbeliefGccPr  libarmmem.so       [.] memcmp                                                                                                                                
     5.91%     0.00%  deepbeliefGccPr  [unknown]          [k] 0x00001000                                                                                                                            
     5.74%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] ret_fast_syscall                                                                                                                      
     4.97%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] __sync_icache_dcache                                                                                                                  
     4.55%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] __vfs_read                                                                                                                            
     4.55%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] generic_file_read_iter                                                                                                                
     4.55%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] sys_read                                                                                                                              
     4.55%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] vfs_read                                                                                                                              
     4.55%     0.00%  deepbeliefGccPr  libc-2.19.so       [.] __GI___libc_read                                                                                                                      
     4.55%     0.00%  deepbeliefGccPr  [unknown]          [k] 0x42fd81df                                                                                                                            
     4.32%     4.32%  deepbeliefGccPr  [kernel.kallsyms]  [k] get_page_from_freelist                                                                                                                
     4.32%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] __alloc_pages_nodemask                                                                                                                
     4.18%     3.54%  deepbeliefGccPr  libjpcnn.so        [.] cblas_sgemm_fixed                                                                                                                     
     3.65%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] copy_page_to_iter                                                                                                                     
     3.63%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] __dabt_svc                                                                                                                            
