# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:ppp'
# Event count (approx.): 3859094570
#
# Overhead  Command          Shared Object      Symbol                                                                                         
# ........  ...............  .................  ..........................................................................................................................................
#
    29.87%  deepbeliefGccPr  libjpcnn.so        [.] Eigen::internal::gemm_pack_lhs<float, int, Eigen::internal::const_blas_data_mapper<float, int, 1>, 12, 4, 1, false, false>::operator()
    21.79%  deepbeliefGccPr  libjpcnn.so        [.] Eigen::internal::gebp_kernel<float, float, int, Eigen::internal::blas_data_mapper<float, int, 0, 0>, 12, 4, false, false>::operator() 
    14.25%  deepbeliefGccPr  libm-2.19.so       [.] __powf_finite                                                                                                                         
     5.01%  deepbeliefGccPr  libjpcnn.so        [.] cblas_sgemm_fixed                                                                                                                     
     3.74%  deepbeliefGccPr  [kernel.kallsyms]  [k] v7_flush_kern_dcache_area                                                                                                             
     3.10%  deepbeliefGccPr  libjpcnn.so        [.] matrix_max_patch                                                                                                                      
     2.63%  deepbeliefGccPr  libarmmem.so       [.] memcmp                                                                                                                                
     2.58%  deepbeliefGccPr  libjpcnn.so        [.] Eigen::internal::gemm_pack_rhs<float, int, Eigen::internal::const_blas_data_mapper<float, int, 0>, 4, 0, false, false>::operator()    
     2.16%  deepbeliefGccPr  [kernel.kallsyms]  [k] __memzero                                                                                                                             
     1.93%  deepbeliefGccPr  [kernel.kallsyms]  [k] mmiocpy                                                                                                                               
     1.71%  deepbeliefGccPr  libjpcnn.so        [.] matrix_local_response                                                                                                                 
     0.95%  deepbeliefGccPr  [kernel.kallsyms]  [k] get_page_from_freelist                                                                                                                
     0.88%  deepbeliefGccPr  libjpcnn.so        [.] parse_zlib                                                                                                                            
     0.78%  deepbeliefGccPr  [kernel.kallsyms]  [k] do_page_fault                                                                                                                         
     0.60%  deepbeliefGccPr  libjpcnn.so        [.] matrix_add_inplace                                                                                                                    
     0.59%  deepbeliefGccPr  [kernel.kallsyms]  [k] handle_mm_fault                                                                                                                       
     0.48%  deepbeliefGccPr  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore                                                                                                           
     0.47%  deepbeliefGccPr  [kernel.kallsyms]  [k] free_hot_cold_page                                                                                                                    
     0.33%  deepbeliefGccPr  [kernel.kallsyms]  [k] mem_cgroup_commit_charge                                                                                                              
